,County_x,Political_Party,Candidates,Perct_Votes,Total_Votes,State,Abbreviations,FIPS,County_y
39,Manatee,Democrat,Joe Biden and Kamala Harris,41.46%,90166,Florida,FL,12081,Manatee
40,Marion,Republican,Donald Trump and Mike Pence,62.44%,127826,Florida,FL,12083,Marion
40,Marion,Democrat,Joe Biden and Kamala Harris,36.57%,74858,Florida,FL,12083,Marion
41,Martin,Republican,Donald Trump and Mike Pence,61.82%,61168,Florida,FL,12085,Martin
41,Martin,Democrat,Joe Biden and Kamala Harris,37.29%,36893,Florida,FL,12085,Martin
42,Miami-Dade,Republican,Donald Trump and Mike Pence,45.98%,532833,Florida,FL,12086,Miami
42,Miami-Dade,Democrat,Joe Biden and Kamala Harris,53.31%,617864,Florida,FL,12086,Miami
43,Monroe,Republican,Donald Trump and Mike Pence,53.38%,25693,Florida,FL,12087,Monroe
43,Monroe,Democrat,Joe Biden and Kamala Harris,45.46%,21881,Florida,FL,12087,Monroe
44,Nassau,Republican,Donald Trump and Mike Pence,72.25%,42566,Florida,FL,12089,Nassau
44,Nassau,Democrat,Joe Biden and Kamala Harris,26.42%,15564,Florida,FL,12089,Nassau
45,Okaloosa,Republican,Donald Trump and Mike Pence,68.35%,79798,Florida,FL,12091,Okaloosa
45,Okaloosa,Democrat,Joe Biden and Kamala Harris,29.34%,34248,Florida,FL,12091,Okaloosa
46,Okeechobee,Republican,Donald Trump and Mike Pence,71.76%,11470,Florida,FL,12093,Okeechobee
46,Okeechobee,Democrat,Joe Biden and Kamala Harris,27.46%,4390,Florida,FL,12093,Okeechobee
47,Orange,Republican,Donald Trump and Mike Pence,37.80%,245398,Florida,FL,12095,Orange
47,Orange,Democrat,Joe Biden and Kamala Harris,60.85%,395014,Florida,FL,12095,Orange
48,Osceola,Republican,Donald Trump and Mike Pence,42.53%,73480,Florida,FL,12097,Osceola
48,Osceola,Democrat,Joe Biden and Kamala Harris,56.31%,97297,Florida,FL,12097,Osceola
49,Palm Beach,Republican,Donald Trump and Mike Pence,43.21%,334711,Florida,FL,12099,Palm
49,Palm Beach,Democrat,Joe Biden and Kamala Harris,55.97%,433572,Florida,FL,12099,Palm
50,Pasco,Republican,Donald Trump and Mike Pence,59.36%,179621,Florida,FL,12101,Pasco
50,Pasco,Democrat,Joe Biden and Kamala Harris,39.35%,119073,Florida,FL,12101,Pasco
51,Pinellas,Republican,Donald Trump and Mike Pence,49.22%,276209,Florida,FL,12103,Pinellas
51,Pinellas,Democrat,Joe Biden and Kamala Harris,49.44%,277450,Florida,FL,12103,Pinellas
52,Polk,Republican,Donald Trump and Mike Pence,56.56%,194586,Florida,FL,12105,Polk
52,Polk,Democrat,Joe Biden and Kamala Harris,42.16%,145049,Florida,FL,12105,Polk
53,Putnam,Republican,Donald Trump and Mike Pence,70.05%,25514,Florida,FL,12107,Putnam
53,Putnam,Democrat,Joe Biden and Kamala Harris,28.90%,10527,Florida,FL,12107,Putnam
54,Santa Rosa,Republican,Donald Trump and Mike Pence,72.19%,77385,Florida,FL,12109,St
54,Santa Rosa,Democrat,Joe Biden and Kamala Harris,25.76%,27612,Florida,FL,12109,St
55,Sarasota,Republican,Donald Trump and Mike Pence,54.71%,148370,Florida,FL,12111,St
55,Sarasota,Democrat,Joe Biden and Kamala Harris,44.29%,120110,Florida,FL,12111,St
56,Seminole,Republican,Donald Trump and Mike Pence,47.89%,125241,Florida,FL,12113,Santa
56,Seminole,Democrat,Joe Biden and Kamala Harris,50.67%,132528,Florida,FL,12113,Santa
57,St. Johns,Republican,Donald Trump and Mike Pence,62.66%,110946,Florida,FL,12115,Sarasota
57,St. Johns,Democrat,Joe Biden and Kamala Harris,36.06%,63850,Florida,FL,12115,Sarasota
58,St. Lucie,Republican,Donald Trump and Mike Pence,50.38%,86831,Florida,FL,12117,Seminole
58,St. Lucie,Democrat,Joe Biden and Kamala Harris,48.82%,84137,Florida,FL,12117,Seminole
59,Sumter,Republican,Donald Trump and Mike Pence,67.76%,62761,Florida,FL,12119,Sumter
59,Sumter,Democrat,Joe Biden and Kamala Harris,31.68%,29341,Florida,FL,12119,Sumter
60,Suwannee,Republican,Donald Trump and Mike Pence,77.84%,16410,Florida,FL,12121,Suwannee
60,Suwannee,Democrat,Joe Biden and Kamala Harris,21.27%,4485,Florida,FL,12121,Suwannee
61,Taylor,Republican,Donald Trump and Mike Pence,76.45%,7751,Florida,FL,12123,Taylor
61,Taylor,Democrat,Joe Biden and Kamala Harris,22.68%,2299,Florida,FL,12123,Taylor
62,Union,Republican,Donald Trump and Mike Pence,82.11%,5133,Florida,FL,12125,Union
62,Union,Democrat,Joe Biden and Kamala Harris,16.85%,1053,Florida,FL,12125,Union
63,Volusia,Republican,Donald Trump and Mike Pence,56.42%,173821,Florida,FL,12127,Volusia
63,Volusia,Democrat,Joe Biden and Kamala Harris,42.38%,130575,Florida,FL,12127,Volusia
64,Wakulla,Republican,Donald Trump and Mike Pence,69.79%,12874,Florida,FL,12129,Wakulla
64,Wakulla,Democrat,Joe Biden and Kamala Harris,29.01%,5351,Florida,FL,12129,Wakulla
65,Walton,Republican,Donald Trump and Mike Pence,75.23%,32947,Florida,FL,12131,Walton
65,Walton,Democrat,Joe Biden and Kamala Harris,23.61%,10338,Florida,FL,12131,Walton
66,Washington,Republican,Donald Trump and Mike Pence,80.06%,9876,Florida,FL,12133,Washington
66,Washington,Democrat,Joe Biden and Kamala Harris,19.03%,2347,Florida,FL,12133,Washington
